;id;clustering;eval_method;optimization;optuna_trials;normalization;scaler;dim_red;reduction_params;dimensions;embeddings;n_clusters;best_params;centers;labels;label_counter;noise_not_noise;score_noise_ratio;penalty;penalty_range;score_w_penalty;score_w/o_penalty
0;49;kmeans;davies_bouldin;optuna;50;True;standard;pca;{'n_components': 2};2;"             0         1
0     0.912887  1.079288
1     0.915643  1.791875
2     0.521274  1.774081
3    -0.119131  1.172193
4     0.960579  0.664170
...        ...       ...
5061 -3.737253 -0.003036
5062  4.338206  2.370932
5063  1.884166  3.418711
5064 -0.086927  1.775208
5065  2.720410  1.829429

[5066 rows x 2 columns]";178;{'n_clusters': 178, 'init': 'k-means++', 'n_init': 16, 'max_iter': 105};"[[-1.17392778e+00  8.46338034e-01]
 [ 5.05721760e+00 -1.24558773e+01]
 [ 3.47554374e+00  4.61283875e+00]
 [-7.57197714e+00  5.52166104e-02]
 [ 3.71298552e+00 -3.63931942e+00]
 [ 6.01330161e-01  1.43111181e+00]
 [ 5.98748732e+00  4.62596029e-01]
 [-3.85048580e+00 -6.72133505e-01]
 [ 7.64626837e+00  4.82927942e+00]
 [-1.18274145e+01 -2.42707658e+00]
 [ 3.67645383e+00 -8.48912716e+00]
 [ 1.19709837e+00 -1.60812676e+00]
 [ 6.53820086e+00  7.35823393e+00]
 [ 6.48478746e+00 -5.54060030e+00]
 [-4.48769140e+00  1.61549199e+00]
 [ 4.02637053e+00  1.76103437e+00]
 [-9.82423878e+00 -1.86486125e+00]
 [-1.08198500e+01 -3.80794972e-01]
 [ 1.57297575e+00  2.95260715e+00]
 [ 6.05329084e+00 -6.76469040e+00]
 [ 9.26061094e-01 -3.84066367e+00]
 [ 2.70398259e+00 -1.97028831e-01]
 [ 7.97661841e-01  8.66537869e-01]
 [ 6.76345444e+00  2.86061049e+00]
 [ 7.27670431e+00 -9.76337051e+00]
 [-5.41535318e-01  1.36597192e+00]
 [ 3.00745010e+00 -5.88540936e+00]
 [-5.84759283e+00 -1.30082846e+00]
 [-7.31023169e+00  1.99379432e+00]
 [-3.68823195e+00  1.93553948e+00]
 [-6.49939728e+00  1.13755500e+00]
 [-8.04032230e+00 -1.14309692e+00]
 [-9.12458229e+00  9.72835839e-01]
 [ 4.52292681e+00 -1.49796283e+00]
 [ 5.46822405e+00 -1.37963324e+01]
 [-7.87157193e-03 -4.65557538e-02]
 [ 4.15998411e+00  2.70807862e+00]
 [ 5.43926811e+00  5.36649609e+00]
 [ 7.31765747e+00 -7.38891363e-01]
 [ 1.61216629e+00  4.74353695e+00]
 [ 1.58719361e+00  3.67261559e-01]
 [ 7.80158949e+00  5.83340788e+00]
 [ 3.24800253e+00  2.42726040e+00]
 [-1.07856979e+01 -1.35015833e+00]
 [ 1.53426087e+00 -6.75824356e+00]
 [-3.08101463e+00  9.67611432e-01]
 [-4.33761930e+00 -1.41008422e-01]
 [ 3.66681600e+00 -9.81904030e-01]
 [ 4.70691729e+00  3.45907187e+00]
 [ 3.04030347e+00  1.50066996e+00]
 [ 1.33564472e+00  2.25077748e+00]
 [ 5.27418756e+00 -1.10342588e+01]
 [ 2.70494556e+00 -3.28146505e+00]
 [-9.47173405e+00 -1.07716823e+00]
 [ 5.91777086e-01  2.47212887e+00]
 [ 6.51926279e+00 -3.26941228e+00]
 [ 1.90652406e+00  3.64006662e+00]
 [-1.42154980e+00  1.70472908e+00]
 [-2.61811972e+00 -8.92903209e-01]
 [ 3.71222591e+00  6.31809282e+00]
 [-1.38840628e+00 -6.48324728e-01]
 [ 5.85494137e+00  1.79375792e+00]
 [ 5.52415371e+00  4.12322617e+00]
 [ 7.71888494e+00  3.90951467e+00]
 [ 5.90295267e+00 -1.17434731e+01]
 [-4.97946709e-01  5.75821519e-01]
 [-5.99156332e+00 -3.61524463e-01]
 [ 3.96514392e+00  8.26808393e-01]
 [ 5.59424210e+00  7.52027178e+00]
 [-6.78900576e+00 -1.43330753e+00]
 [-7.35627842e+00  7.31100976e-01]
 [ 4.09119463e+00 -1.27199249e+01]
 [ 7.83533001e+00 -4.42505455e+00]
 [ 6.02620661e-01 -1.57859653e-01]
 [-5.67178965e+00  8.06000113e-01]
 [ 7.83996153e+00 -5.95407343e+00]
 [ 8.38624859e+00  1.53227520e+00]
 [ 2.66081405e+00  3.20243597e+00]
 [ 4.59993410e+00 -1.38189735e+01]
 [ 1.89720821e+00  1.63728213e+00]
 [ 2.25953221e+00 -1.28923023e+00]
 [ 7.82448006e+00 -8.65595245e+00]
 [ 2.25526452e+00 -8.62578773e+00]
 [-1.21381741e+01  1.06265657e-02]
 [-4.70491982e+00  5.09350061e-01]
 [ 5.07356024e+00  2.77842283e+00]
 [-8.97974491e+00 -4.70991582e-01]
 [ 4.88552380e+00 -4.11535454e+00]
 [-1.00603571e+01 -2.68358970e+00]
 [-9.77318096e+00  2.04516813e-01]
 [-8.29234421e-01 -1.91720665e+00]
 [ 3.93581915e+00 -1.13804321e+01]
 [ 8.14930975e-01 -2.38185406e+00]
 [ 3.29913288e-01  4.48322743e-01]
 [ 1.95877767e+00 -5.43066883e+00]
 [-8.90937042e+00  2.66608417e-01]
 [ 6.56320906e+00 -1.04936085e+01]
 [ 7.07565308e-01  3.58391070e+00]
 [-2.31413341e+00  1.43673524e-01]
 [ 5.57183886e+00 -2.70003414e+00]
 [-8.67655182e+00 -1.61718261e+00]
 [-7.35780525e+00  1.36189568e+00]
 [ 1.16069746e+00  1.56749642e+00]
 [ 6.35999060e+00 -8.65821648e+00]
 [ 6.57981253e+00  4.65853977e+00]
 [ 6.52879620e+00  5.69527102e+00]
 [ 2.69373131e+00  4.57594919e+00]
 [-1.15984812e+01 -1.21145642e+00]
 [ 3.41680795e-01 -1.19145012e+00]
 [-3.41199565e+00  1.57943651e-01]
 [ 2.03310418e+00 -4.81739640e-01]
 [ 6.90500212e+00  1.63381231e+00]
 [-1.02742090e+01  1.11823952e+00]
 [ 6.59336567e+00  3.72932577e+00]
 [ 3.36665964e+00 -9.86931324e+00]
 [ 2.35906935e+00 -2.25999856e+00]
 [ 7.75859022e+00 -1.06523085e+01]
 [ 2.33732796e+00  2.20568633e+00]
 [ 7.11804724e+00  6.65145063e+00]
 [ 4.27299023e+00  5.01155043e+00]
 [ 1.84383965e+00 -3.06473398e+00]
 [-7.13027000e+00 -6.08540535e-01]
 [ 6.39128461e-02  1.76481330e+00]
 [ 4.43794632e+00 -1.29997969e-01]
 [-4.49439383e+00 -1.46068108e+00]
 [ 6.27189445e+00 -1.28674679e+01]
 [-8.08123723e-02 -3.33000946e+00]
 [ 7.90745676e-01 -5.05884838e+00]
 [ 5.36254787e+00 -1.22267950e+00]
 [ 6.55510950e+00  8.54586029e+00]
 [ 4.83612490e+00  1.94220853e+00]
 [ 1.14228338e-01  1.01313388e+00]
 [-4.80534941e-01  2.35145402e+00]
 [ 7.24309826e+00  2.89124310e-01]
 [-5.07040405e+00 -6.22539759e-01]
 [ 2.56652713e+00 -7.16797495e+00]
 [ 3.02618361e+00  5.71028233e+00]
 [-4.46903181e+00  2.66403079e+00]
 [ 5.13979578e+00 -1.00079813e+01]
 [-8.23983765e+00  5.23174047e-01]
 [ 4.65956545e+00 -8.99568176e+00]
 [ 3.56688595e+00 -4.58790970e+00]
 [-3.86557221e+00  8.66852045e-01]
 [ 4.46228456e+00  7.29283857e+00]
 [-1.95657551e+00  8.99176061e-01]
 [ 1.07319927e+00 -5.27249098e-01]
 [-5.32178164e-01 -3.62663776e-01]
 [ 3.47289228e+00  3.47988701e+00]
 [ 4.18469095e+00 -6.83775234e+00]
 [ 7.34324312e+00 -1.94802547e+00]
 [-6.57895517e+00  2.90738821e-01]
 [-5.93449354e+00  1.96515322e+00]
 [-8.24561214e+00 -4.31696862e-01]
 [-8.92613316e+00 -2.55920553e+00]
 [-5.18448353e+00  1.44892538e+00]
 [-2.46386194e+00  1.72378564e+00]
 [ 3.53581166e+00  3.14170569e-02]
 [ 7.26609039e+00 -7.14510250e+00]
 [-1.00062714e+01 -6.65633023e-01]
 [ 4.73679638e+00  6.03082418e+00]
 [ 9.31338489e-01  2.41406232e-01]
 [-8.32391548e+00  1.30396485e+00]
 [ 4.78896332e+00  1.01867759e+00]
 [ 5.85034704e+00  6.63284063e+00]
 [ 3.13543534e+00  6.84166372e-01]
 [-1.08150787e+01 -2.30942273e+00]
 [ 4.07522678e+00  3.89960432e+00]
 [ 3.43309474e+00 -2.26181650e+00]
 [-1.13802338e+00  1.55356720e-01]
 [ 2.29378986e+00 -4.23198748e+00]
 [ 4.29997015e+00 -5.29842710e+00]
 [ 2.31135058e+00  6.13178790e-01]
 [ 5.26416445e+00 -7.85216427e+00]
 [ 7.02100468e+00 -1.15284843e+01]
 [-7.69505501e+00 -2.04255104e+00]
 [ 5.92023039e+00  2.84595346e+00]
 [ 7.42619896e+00  2.49419427e+00]
 [ 1.43916142e+00  9.80453908e-01]]";[ 22 102   5 ...  56 122  49];Counter({22: 88, 131: 88, 93: 88, 25: 78, 65: 78, 5: 70, 177: 69, 40: 68, 102: 66, 168: 60, 18: 59, 35: 57, 160: 49, 79: 49, 122: 48, 16: 46, 77: 45, 53: 45, 50: 44, 73: 44, 54: 44, 134: 44, 62: 43, 89: 43, 41: 43, 70: 42, 74: 42, 147: 42, 145: 42, 57: 41, 0: 41, 144: 41, 45: 40, 84: 39, 117: 39, 171: 39, 56: 39, 30: 39, 110: 38, 15: 38, 150: 38, 66: 37, 104: 37, 43: 37, 49: 36, 42: 36, 95: 36, 163: 35, 109: 35, 8: 35, 11: 34, 100: 34, 158: 34, 3: 33, 152: 33, 36: 32, 113: 32, 132: 32, 37: 32, 146: 32, 165: 32, 34: 32, 80: 31, 97: 31, 14: 31, 67: 30, 155: 30, 142: 30, 119: 30, 86: 30, 118: 30, 108: 30, 78: 30, 32: 30, 2: 29, 139: 29, 174: 29, 31: 29, 107: 29, 105: 28, 17: 28, 63: 28, 21: 27, 115: 27, 61: 27, 48: 27, 85: 27, 29: 27, 7: 27, 164: 26, 1: 26, 106: 25, 151: 25, 121: 25, 47: 24, 98: 24, 124: 24, 46: 24, 88: 24, 27: 24, 154: 23, 175: 23, 101: 23, 127: 23, 6: 22, 153: 22, 20: 22, 125: 22, 52: 21, 166: 21, 23: 21, 156: 21, 161: 21, 58: 21, 176: 21, 114: 21, 130: 20, 120: 20, 159: 20, 136: 20, 39: 19, 44: 19, 24: 19, 162: 18, 60: 18, 99: 18, 128: 18, 12: 18, 69: 17, 92: 17, 126: 17, 94: 17, 10: 17, 38: 17, 81: 17, 51: 17, 112: 17, 91: 16, 138: 16, 173: 16, 167: 15, 71: 15, 133: 15, 72: 15, 111: 14, 68: 14, 75: 14, 33: 13, 87: 13, 169: 13, 13: 13, 96: 13, 103: 13, 137: 12, 28: 12, 19: 12, 116: 12, 141: 11, 26: 11, 82: 11, 64: 11, 149: 11, 140: 11, 83: 11, 123: 10, 55: 10, 157: 10, 135: 10, 4: 9, 9: 9, 129: 9, 76: 9, 59: 9, 143: 8, 172: 8, 148: 7, 90: 7, 170: 6});{-1: 0, 1: 5066};1.2705397321458012;;;0.7870670823580704;0.7870670823580704
1;49;kmeans;davies_bouldin;optuna;50;True;standard;pca;{'n_components': 3};3;"             0         1         2
0     0.912887  1.079288  4.432262
1     0.915643  1.791875  4.872159
2     0.521274  1.774081  4.314955
3    -0.119131  1.172193  4.257432
4     0.960579  0.664170  4.059263
...        ...       ...       ...
5061 -3.737253 -0.003036  2.024282
5062  4.338206  2.370932  1.154875
5063  1.884166  3.418711  4.003509
5064 -0.086927  1.775208  4.559693
5065  2.720410  1.829429  4.080862

[5066 rows x 3 columns]";43;{'n_clusters': 43, 'init': 'k-means++', 'n_init': 21, 'max_iter': 136};"[[  1.2275963   -1.2335147    4.073261  ]
 [ -9.831451    -1.8423522   -3.8701298 ]
 [  7.548488     5.203927    -7.5740466 ]
 [  1.3664691    1.1393244    3.4999666 ]
 [  5.732282    -8.77446     -2.820508  ]
 [ -4.339614    -0.81640035   0.76605606]
 [  5.2333193   -1.7632246   -2.6700623 ]
 [  4.01439    -10.224058     0.65701467]
 [  5.1066856    5.503066    -2.5949411 ]
 [ -0.57324046   1.3293173    3.8591852 ]
 [  5.951339   -12.801089    -3.0523314 ]
 [ -2.198723     0.67504823   2.5378046 ]
 [  1.7388208   -6.2341514    4.927069  ]
 [  7.0785623   -1.2107589   -5.672052  ]
 [ -6.3064957   -0.47150898  -0.5860991 ]
 [  5.6646514    1.7401744   -3.6195688 ]
 [  2.8912058    2.4224925    0.72133064]
 [  4.267383    -3.4893205   -0.36210328]
 [ -8.3144045   -1.3489422   -2.303748  ]
 [ -4.6809707    0.71794766   2.029991  ]
 [  1.1739478    2.7901917    5.2280636 ]
 [  6.1689095    4.2056913   -4.740576  ]
 [  3.299663     4.878146     0.5019168 ]
 [  3.592178     0.18414761  -0.3800324 ]
 [  0.6170056    0.7197357    5.297579  ]
 [  0.69548434  -3.9375172    6.173369  ]
 [  4.3155117    2.6336122   -1.4213758 ]
 [ -0.27521655  -0.0412408    3.0640366 ]
 [  6.4230328    6.884115    -5.792478  ]
 [  3.1626456   -7.352768     1.8102423 ]
 [  7.261231    -5.7378883   -5.7422338 ]
 [-11.171604    -1.2770534   -5.23357   ]
 [ -7.3717003    0.8304945   -2.6465702 ]
 [ -3.5782425    1.2409031    0.805613  ]
 [  4.81515    -13.048828    -0.9095356 ]
 [  7.193054     2.740769    -6.4124546 ]
 [  0.1490583    1.2235395    2.1551592 ]
 [  1.9322478    3.3085337    2.665292  ]
 [ -5.343095     1.3687402   -0.87835175]
 [  2.4600139   -3.2319982    2.4433615 ]
 [ -9.334813     0.1931423   -3.9710393 ]
 [  2.1315973   -0.0451524    1.6932555 ]
 [  7.2370605   -9.838974    -5.1596785 ]]";[24 20  9 ... 37  9  3];Counter({24: 273, 3: 232, 27: 223, 9: 209, 40: 206, 32: 184, 36: 176, 11: 171, 18: 151, 26: 150, 41: 147, 16: 143, 20: 139, 0: 137, 1: 136, 14: 132, 31: 127, 37: 123, 38: 119, 8: 115, 2: 115, 22: 114, 5: 114, 23: 113, 33: 103, 28: 100, 15: 96, 39: 95, 21: 89, 34: 85, 35: 82, 19: 76, 42: 72, 10: 66, 25: 62, 7: 62, 30: 56, 13: 54, 29: 48, 6: 46, 12: 43, 4: 43, 17: 39});{-1: 0, 1: 5066};1.0170961114384585;;;0.9831912527772033;0.9831912527772033
2;49;kmeans;davies_bouldin;optuna;50;True;standard;pca;{'n_components': 4};4;"             0         1         2         3
0     0.912887  1.079288  4.432262 -0.604041
1     0.915643  1.791875  4.872159  0.290175
2     0.521274  1.774081  4.314955  0.472478
3    -0.119131  1.172193  4.257432  0.464908
4     0.960579  0.664170  4.059263 -0.799617
...        ...       ...       ...       ...
5061 -3.737253 -0.003036  2.024282  3.876636
5062  4.338206  2.370932  1.154875  2.271731
5063  1.884166  3.418711  4.003509  1.036328
5064 -0.086927  1.775208  4.559693  0.594088
5065  2.720410  1.829429  4.080862  1.684071

[5066 rows x 4 columns]";41;{'n_clusters': 41, 'init': 'k-means++', 'n_init': 50, 'max_iter': 144};"[[-1.0269196e+01 -1.6494511e+00 -4.3098965e+00  3.6660590e+00]
 [ 2.4255657e+00 -9.5640504e-01  1.5316527e+00 -2.2330687e+00]
 [ 6.6131582e+00  4.0474138e+00 -5.1658521e+00 -6.8962924e-02]
 [ 1.1958297e+00 -2.0012243e+00  4.0086846e+00 -6.0060114e-01]
 [ 6.8672829e+00 -9.8815231e+00 -4.6049023e+00 -1.6073649e-01]
 [-4.3696938e+00  2.0876245e-01  4.5663413e-01  2.2608466e-01]
 [-8.8350754e+00  4.8456419e-01 -3.6982074e+00 -7.9675913e+00]
 [ 4.8104944e+00  3.5231760e+00 -2.1713159e+00 -1.6066073e+00]
 [ 2.1820104e+00  2.5122268e+00  1.6103575e+00 -1.5146241e+00]
 [-9.1568918e+00  2.3564202e-01 -3.9460804e+00 -3.8865328e+00]
 [ 6.4222239e-02  1.1028600e+00  4.0807028e+00  1.0176253e+00]
 [ 3.0243268e+00 -4.5781641e+00  1.9058290e+00 -7.4776047e-01]
 [-6.3167114e+00  1.1801492e+00 -1.6796933e+00 -7.1673660e+00]
 [-8.8774767e+00 -1.8520547e+00 -2.6687131e+00  6.9971194e+00]
 [ 6.9329886e+00 -2.3592739e-01 -5.3757143e+00 -4.3065742e-01]
 [ 5.1936307e+00  5.9464145e+00 -2.8128350e+00  8.1265831e-01]
 [-7.3134184e+00 -4.4098866e-01 -1.7722706e+00  3.2923017e+00]
 [ 5.1956005e+00 -1.2831917e+01 -1.6472872e+00 -4.8310542e-01]
 [ 1.0572250e+00  4.0955901e-01  2.6149497e+00  2.4186848e-01]
 [-3.6372085e+00  4.3241140e-01  1.7733846e+00  4.9303942e+00]
 [ 3.3232157e+00  4.5783658e+00  5.0425786e-01  1.1297934e+00]
 [-7.1781120e+00  2.7143559e-01 -2.2767479e+00 -4.7139403e-01]
 [ 1.0920035e+00 -4.9919977e+00  5.7678423e+00  9.4448709e-01]
 [-5.1607943e+00  8.3279842e-01  1.0786359e-01 -3.5325420e+00]
 [ 3.4750736e+00  1.1319997e+00 -1.6533716e-01 -2.6506472e-02]
 [ 8.4090263e-01  8.1232280e-01  3.3801353e+00 -1.8092322e+00]
 [-9.8520708e-01  8.4138781e-01  2.7533996e+00 -5.3705578e-03]
 [ 1.2229286e+00  2.7974563e+00  5.0832338e+00 -2.8048983e-01]
 [ 4.7833815e+00 -2.1911640e+00 -1.7928604e+00 -1.3091534e+00]
 [-1.0672273e+01 -9.9950147e-01 -4.8518171e+00 -1.6792361e-01]
 [ 5.1730247e+00  1.9678296e+00 -3.1779470e+00  1.5364455e+00]
 [ 3.7438402e+00 -9.5068398e+00  9.9977326e-01 -4.9901110e-01]
 [-1.0030177e+00  5.0892025e-01  2.9514811e+00  3.2146931e+00]
 [ 7.0809259e+00 -5.5211935e+00 -5.4462738e+00 -2.8908825e-01]
 [ 2.0408955e+00  2.9195747e+00  2.5864980e+00  1.4431636e+00]
 [ 3.7408867e+00  1.4531924e+00 -4.1523811e-01 -2.3823576e+00]
 [ 7.2882690e+00  3.6863220e+00 -7.0514455e+00  2.3708432e+00]
 [-3.2056682e+00  8.0634928e-01  2.0411024e+00 -2.0338681e+00]
 [ 6.9111848e+00  6.5217500e+00 -6.7135267e+00  1.5465685e+00]
 [-5.6943364e+00 -4.5418695e-01 -7.6730825e-02  7.1245799e+00]
 [ 6.4469725e-01  6.8661457e-01  5.2960916e+00 -4.8586264e-01]]";[40 27 10 ... 34 10 34];Counter({40: 256, 18: 235, 10: 221, 26: 205, 25: 192, 32: 151, 17: 150, 27: 148, 38: 138, 0: 133, 3: 130, 13: 130, 7: 128, 6: 126, 34: 125, 20: 125, 9: 122, 8: 120, 24: 120, 5: 114, 2: 113, 37: 111, 36: 110, 4: 109, 29: 107, 23: 106, 12: 102, 35: 101, 1: 100, 16: 100, 15: 96, 21: 95, 22: 92, 19: 90, 31: 90, 39: 87, 30: 87, 11: 84, 28: 79, 33: 71, 14: 67});{-1: 0, 1: 5066};0.9343233204294379;;;1.0702933108213284;1.0702933108213284
