;id;clustering;eval_method;optimization;optuna_trials;normalization;scaler;dim_red;reduction_params;dimensions;embeddings;n_clusters;best_params;centers;labels;label_counter;noise_not_noise;score_noise_ratio;penalty;penalty_range;score_w_penalty;score_w/o_penalty
0;50;kmeans;silhouette;optuna;50;True;standard;pca;{'n_components': 2};2;"             0         1
0    -0.190449 -2.791702
1     0.529137 -1.747940
2     0.451614 -1.445329
3     0.850853 -1.498084
4     0.574965 -1.351917
...        ...       ...
5061  4.960947 -0.119324
5062 -2.931332 -2.310312
5063 -0.974372 -3.659015
5064 -0.481884 -2.713240
5065 -1.643754 -3.651091

[5066 rows x 2 columns]";42;{'n_clusters': 42, 'init': 'random', 'n_init': 39, 'max_iter': 113};"[[-1.19719782e+01  1.23005180e+01]
 [-7.67373705e+00 -5.63820076e+00]
 [-5.50089788e+00 -4.60346413e+00]
 [-1.07090025e+01 -5.93123722e+00]
 [-5.97766399e+00  1.19107666e+01]
 [ 8.69809985e-01 -8.61791790e-01]
 [ 4.89506340e+00  1.39579132e-01]
 [-1.14173651e+01 -5.02587318e-01]
 [-1.43371391e+00 -4.37870264e+00]
 [-8.56524277e+00  2.61038995e+00]
 [-9.03956234e-01 -2.65536737e+00]
 [-3.16425610e+00  3.61080813e+00]
 [-2.79326677e+00  3.27476472e-01]
 [ 6.96413946e+00  9.50145423e-01]
 [-9.31316674e-01 -1.10520482e+00]
 [ 3.97124815e+00 -1.20543408e+00]
 [-5.42249143e-01  4.70672160e-01]
 [ 2.91532427e-01 -3.38857675e+00]
 [ 1.19738808e+01  3.34937048e+00]
 [-7.74374866e+00  1.55383654e+01]
 [-9.35058022e+00 -8.28030491e+00]
 [ 1.06996593e+01  1.34652996e+00]
 [-1.12939129e+01  6.74841213e+00]
 [ 2.45461798e+00 -4.57885070e-03]
 [-1.13141603e+01  1.67419930e+01]
 [-9.16294861e+00  1.90693741e+01]
 [ 1.44635687e+01  4.85202312e+00]
 [-5.92961693e+00 -7.70365334e+00]
 [ 2.04195812e-01 -1.96073687e+00]
 [ 9.00809860e+00  2.02226615e+00]
 [ 2.01427221e+00 -1.31789565e+00]
 [ 8.67312431e+00  2.98739821e-01]
 [-3.35304999e+00 -6.44538164e+00]
 [ 2.51186061e+00 -2.46067548e+00]
 [-3.15777540e+00 -4.23720980e+00]
 [-4.53851175e+00  8.18864632e+00]
 [-2.36752677e+00 -2.21390748e+00]
 [-5.79493570e+00 -9.91208255e-02]
 [-8.00022316e+00 -2.58231354e+00]
 [ 1.23547792e+00 -2.31039143e+00]
 [ 6.22451496e+00 -7.54176021e-01]
 [-4.30805492e+00 -2.78768706e+00]]";[10 28 28 ...  8 10  8];Counter({28: 234, 26: 232, 10: 213, 5: 211, 39: 206, 29: 174, 21: 168, 30: 165, 13: 164, 17: 150, 20: 147, 14: 143, 15: 140, 8: 138, 6: 138, 3: 129, 31: 128, 40: 122, 2: 121, 18: 120, 32: 113, 34: 113, 12: 108, 27: 108, 25: 108, 36: 107, 23: 104, 38: 98, 24: 98, 33: 97, 16: 96, 1: 95, 37: 88, 41: 88, 19: 73, 0: 70, 4: 51, 7: 45, 9: 44, 35: 41, 11: 41, 22: 37});{-1: 0, 1: 5066};0.3510693609714508;;;0.3510693609714508;0.35106936
1;50;kmeans;silhouette;optuna;50;True;standard;pca;{'n_components': 3};3;"             0         1         2
0    -0.190460 -2.791617  5.412052
1     0.529151 -1.747780  4.430623
2     0.451601 -1.445271  3.725780
3     0.850845 -1.497985  4.537716
4     0.574960 -1.351860  3.662023
...        ...       ...       ...
5061  4.960933 -0.119680 -0.002616
5062 -2.931335 -2.310190  2.977547
5063 -0.974370 -3.659127  4.639653
5064 -0.481872 -2.713580  4.862597
5065 -1.643751 -3.651355  2.776642

[5066 rows x 3 columns]";40;{'n_clusters': 40, 'init': 'k-means++', 'n_init': 29, 'max_iter': 119};"[[  0.48168474  -0.85161155   2.9682102 ]
 [-11.569407     6.352926    -3.9514515 ]
 [  7.595648     1.4342504   -2.0569334 ]
 [ -8.1156225   -7.2299123   -7.7024856 ]
 [ 12.361874     3.698491    -7.506358  ]
 [ -8.910613    18.85919      1.7872696 ]
 [ -3.8649611   -3.1771991    0.49728617]
 [ -4.835006    10.523325     4.2929134 ]
 [-10.034813    -7.9849916  -11.471901  ]
 [-11.98125     14.930572    -3.7315764 ]
 [  3.018504    -1.3149232    2.7544842 ]
 [ -0.43752152  -2.650028     4.9393845 ]
 [ -7.521726     0.53129643  -2.2162406 ]
 [  0.05869409  -1.2576007    6.4031754 ]
 [ -4.477572     0.28651443   1.368967  ]
 [  5.21504     -0.47454217   3.0698245 ]
 [ 11.114404     1.693616    -2.9514287 ]
 [ -6.1375084   -7.1945333   -3.6162403 ]
 [  9.540198     0.84455603  -0.5708254 ]
 [-11.548998     0.40288484  -7.2709208 ]
 [ -7.321813    15.370405     3.437215  ]
 [ -2.3908308   -5.023415     1.5820444 ]
 [  2.014134    -0.9310991    4.275763  ]
 [  7.351266     0.3080675    1.0132483 ]
 [ -1.4929382   -2.9923785    2.9468827 ]
 [ -3.5443363   -6.206059    -0.91980356]
 [ -3.3030093    5.2789845    4.5730705 ]
 [ -8.898692    12.715369     0.5841129 ]
 [ -7.9563074    5.2972956    0.07790155]
 [  9.727823     2.1728399   -5.197796  ]
 [-10.880889    17.800783    -1.5367662 ]
 [ 14.51188      4.9312525  -10.223271  ]
 [ -6.1054554   -4.951443    -0.63760555]
 [ -8.48798     -2.7825668   -5.461235  ]
 [ -6.0116444   -3.1429431   -2.5432503 ]
 [-10.589242    -5.2060394  -10.9433365 ]
 [  1.1813629   -2.383837     4.032277  ]
 [-12.058838    11.471301    -4.621716  ]
 [  5.062789    -0.15864617   0.91174835]
 [ -1.9145057    0.32040846   4.4502144 ]]";[11 36  0 ... 11 11 24];Counter({11: 371, 36: 342, 0: 251, 24: 240, 22: 230, 31: 212, 10: 184, 13: 175, 23: 172, 39: 166, 18: 164, 38: 150, 15: 146, 8: 138, 21: 137, 6: 136, 29: 122, 17: 121, 2: 121, 16: 113, 25: 112, 4: 107, 3: 101, 34: 97, 35: 97, 5: 92, 14: 91, 30: 88, 32: 86, 33: 67, 20: 67, 12: 59, 7: 58, 9: 49, 37: 48, 19: 42, 26: 34, 1: 28, 28: 26, 27: 26});{-1: 0, 1: 5066};0.27742183208465576;;;0.27742183208465576;0.27742183
2;50;kmeans;silhouette;optuna;50;True;standard;pca;{'n_components': 4};4;"             0         1         2         3
0    -0.190442 -2.791705  5.412899  1.946099
1     0.529121 -1.747913  4.431575  2.174945
2     0.451598 -1.445387  3.726273  1.976865
3     0.850842 -1.498067  4.538000  2.009251
4     0.574955 -1.351918  3.662434  0.913349
...        ...       ...       ...       ...
5061  4.960959 -0.119253 -0.001763  5.172568
5062 -2.931320 -2.310222  2.976808  1.600718
5063 -0.974375 -3.659296  4.639204  3.699570
5064 -0.481901 -2.713782  4.863452  2.487679
5065 -1.643745 -3.651447  2.775342  0.982215

[5066 rows x 4 columns]";42;{'n_clusters': 42, 'init': 'k-means++', 'n_init': 40, 'max_iter': 149};"[[-10.222939    -7.8054833  -11.499266    -1.052601  ]
 [  8.418603     1.105627    -0.8491883   -1.3524972 ]
 [ -3.6938603    0.629671     2.49224      0.19524078]
 [-10.26761     18.426506    -0.37565035  -0.7183364 ]
 [ 13.973201     5.0195947  -10.220413     8.496963  ]
 [  0.5716204   -1.4897504    6.4262366    4.0663443 ]
 [ -1.7051706   -3.4493318    2.597746     1.0751584 ]
 [ -5.769205    -7.4332385   -3.309371     0.774755  ]
 [  7.8221774    0.06950689   0.8292741  -11.9097395 ]
 [  3.6151733   -0.90010315   2.7330499    1.052119  ]
 [ 10.874768     3.029444    -6.46668      5.1897063 ]
 [ -6.6818876   -0.39376098  -1.7987877   -0.66235614]
 [ -3.4859266    6.067748     4.6047144    2.3543606 ]
 [  5.4640055   -0.14598879   2.3027637   -7.2874126 ]
 [ 10.20743      0.74553555  -1.076211   -15.678607  ]
 [ -8.096702    -7.4538555   -7.7869635   -0.0628574 ]
 [  6.0033526    0.10763007   1.028138     1.5905095 ]
 [  2.248846    -1.6167758    3.8000796   -0.60531306]
 [ -2.892972    -5.751861     0.46259874   1.0821108 ]
 [-12.010389    12.599101    -4.200705    -2.4164484 ]
 [  7.8735557    1.4060005   -2.6290793    2.9207268 ]
 [-10.323613    -0.5755456   -6.3736925   -1.813347  ]
 [ -7.778632    14.912593     2.8315775    0.48109102]
 [ -0.5778952   -2.3250773    4.626298     0.27733216]
 [ 10.467797     2.2532187   -5.2761154    0.30839366]
 [  8.799139     1.4914626   -1.2126036   -6.721485  ]
 [ -1.4033009   -0.22586358   5.192567     1.7837923 ]
 [-11.887417     7.3701687   -5.0236454   -1.9163153 ]
 [ -5.406487    -4.8577194   -1.2146133    0.27797836]
 [ -3.978922    -2.9242742    0.48097306   0.20352586]
 [ -8.563189    18.745407     2.3193889    0.3467758 ]
 [  0.02382819  -3.0111568    4.953897     2.2906427 ]
 [ 14.654134     4.552612    -9.5219555    4.352573  ]
 [  4.5954165   -0.5471295    2.4086607   -1.9639877 ]
 [ -8.550683     4.957157    -0.6086571   -0.6945214 ]
 [-11.44476     16.573362    -2.700243    -1.5679356 ]
 [-10.358579    -4.907454   -10.719395    -2.051792  ]
 [  1.3013903   -1.7846278    4.037033     2.0494003 ]
 [ -7.2675467   -3.9903703   -4.0851197   -0.7911181 ]
 [ -5.1856995   11.2876       4.1275043    1.4450191 ]
 [  0.5146753   -0.84721863   2.995995     0.31859216]
 [ 11.341589     1.798866    -2.9964514  -11.70567   ]]";[31 37 37 ... 31 31  6];Counter({37: 325, 40: 257, 23: 257, 31: 252, 6: 232, 17: 218, 26: 196, 18: 154, 0: 150, 29: 149, 16: 148, 4: 148, 9: 145, 28: 143, 1: 128, 7: 116, 33: 111, 2: 108, 32: 105, 24: 103, 5: 102, 15: 98, 38: 97, 13: 94, 14: 93, 11: 89, 36: 88, 20: 83, 10: 76, 8: 74, 21: 73, 30: 73, 22: 72, 3: 72, 25: 71, 35: 69, 19: 66, 41: 62, 39: 57, 12: 42, 34: 38, 27: 32});{-1: 0, 1: 5066};0.25278428196907043;;;0.25278428196907043;0.25278428
